glottolog	legacy	parent	parent2	note	local	en	tw	cn	ko	mm
atay1247	Atayal					Atayal	泰雅	Atayal		
0000baotang	保唐片	冀鲁官话				Bǎotáng	保唐片	保唐片		
0000beijiang	北疆片	兰银官话				Běijiāng	北疆片	北疆片		
beij1234	北京官话	北京官话				Běijīng	北京官話	北京官话		
sanh1239	北四縣腔	"客语 粤台片 梅惠小片
"				Běisìxiàn	北四縣腔	北四县腔		
0000beizhuang	北壮	狀語				Běizhuàng	北壯	北壮		
0000bingzhou	并州	晋语				Bìngzhōu	并州	并州		
0000cailu	蔡鲁片	中原官话				Càilǔ	蔡魯片	蔡鲁片		
0000canghui	沧惠片	冀鲁官话				Cānghuì	滄惠片	沧惠片		
sino1245	藏緬					Cángmiǎn	藏緬緬	藏缅		
0000cenjiang	岑江片	西南官话				Cénjiāng	岑江片	岑江片		
0000changdu	昌都片	赣语				Chāngdū	昌都片	昌都片		
0000changjing	昌精片	赣语				Chāngjīng	昌精片	昌精片		
chan1316	长益	湘语				Chángyì	長益	长益		
chan1316	长益片	湘语				Chángyì	長益片	长益片		
0000changzhutan	长株潭小片	"湘语长益片
"				Chángzhūtán	長株潭小片	长株潭小片		
chao1239	潮汕小片	闽南片				Cháoshàn	潮汕小片	潮汕小片		
0000chengyu	成渝小片	西南官话				Chéngyú	成渝小片	成渝小片		
0000chengyu	成渝片	西南官话				Chéngyú	成渝片	成渝片		
0000chenxu	辰溆片	湘语				Chénxù	辰溆片	辰溆片		
0000chuanqian	川黔片	西南官话				Chuānqián	川黔片	川黔片		
chuq1241	处衢片	吴语				Chùqú	處衢片	处衢片		
0000cizhang	磁漳小片	晋语邯新片				Cízhāng	磁漳小片	磁漳小片		
0000culi	Cʔuliʔ					Cʔuliʔ	庫利利	Cʔuliʔ		
0000dabao	大包片	晋语				Dàbāo	大包片	大包片		
0000danzhou	儋州话	粤语				Dānzhōu	儋州話	儋州话		
0000datong	大通片	赣语				Dàtōng	大通片	大通片		
0000denglian	登连片	胶辽官话				Dēnglián	登連片	登连片		
0000dianxi	滇西片	西南官话				Diānxī	滇西片	滇西片		
0000dianzhong	滇中小片	西南官话云南片				Diānzhōng	滇中小片	滇中小片		
0000diji	荻济小片	晋语邯新				Díjì	濟濟小片	荻济小片		
000dingba	定霸小片	冀鲁官话保唐片				Dìngbà	定霸小片	定霸小片		
nort3283	东北官话					Dōngběi	東北官話	东北官话		
0000dongping	东坪小片	湘语 长益片				Dōngpíng	東坪小片	东坪小片		
0000dongqi	东祁小片	湘语邵祁片				Dōngqí	東祁小片	东祁小片		
000muliple	多种方言					Duōzhǒng	多種方言	多种方言		
0000ebei	鄂北小片	"西南官话湖广片
"				Èběi	鄂北小片	鄂北小片		
0000ebei	鄂北片					Èběi	鄂北片	鄂北片		
0000ezhong	鄂中小片	西南官话湖广片				Èzhōng	鄂中小片	鄂中小片		
0000fenhe	汾河片	中原官话				Fénhé	汾河片	汾河片		
0000form	Formosan					Formosan	台灣南島語群	台灣南島語群		
0000form	Formosan 臺灣南島語群					Formosan	台灣南島語群	台灣南島語群		
hain1237	府城小片	闽语琼文片				Fǔchéng	府城小片	府城小片		
0000fuguang	抚广片	赣语				Fǔguǎng	撫廣片	抚广片		
funi1234	福宁	闽东片				Fúníng	福寧	福宁		
funi1234	福宁小片	闽语闽东片				Fúníng	福寧小片	福宁小片		
0000gaihuan	盖桓片	胶辽官话				Gàihuán	蓋桓片	盖桓片		
ganc1239	赣语					Gànyǔ	贛語	赣语		
0000ganzhou	赣州片	西南官话				Gànzhōu	贛州片	赣州片		
gaol1235	高阳片	粤语				Gāoyáng	高陽片	高阳片		
guin1237	勾漏片					Gōulòu	勾漏片	勾漏片		
0000guanchi	灌赤片	西南官话				Guànchì	灌赤片	灌赤片		
0000guangfu	广府片					Guǎngfǔ	廣府片	广府片		
0000guanzhong	关中片	中原官话				Guānzhōng	關中片	关中片		
0000guibei	桂北小片	西南官话桂柳片				Guìběi	桂北小片	桂北小片		
0000guiliu	桂柳片	西南官话				Guìliǔ	桂柳片	桂柳片		
0000guinan	桂南片	平话和土话				Guìnán	桂南片	桂南片		
0000hafu	哈阜片	东北官话				Hāfù	哈阜片	哈阜片		
hail1247	海陆片					Hǎilù	海陸片	海陆片		
hail1247	海陆腔	客语				Hǎilù	海陸腔	海陆腔		
hang1257	杭州小片	吴语	太湖片			Hángzhōu	杭州小片	杭州小片		
0000hanxin	邯新	晋语				Hánxīn	邯新	邯新		
0000hanxin	邯新片	晋语				Hánxīn	邯新片	邯新片		
sini1245	汉语系					Hànyǔxì	漢語系	汉语系		
0000henyang	衡阳小片	湘语邵祁片				Héngyáng	衡陽小片	衡阳小片		
0000hexi	河西片	兰银官话				Héxī	河西片	河西片		
0000hongchao	洪巢片	江淮官话				Hóngcháo	洪巢片	洪巢片		
fuzh1239	侯官小片	闽北片 闽东片				Houguan	侯官小片	侯官小片		
0000huaiyu	怀玉小片	西南官话湖广片				Huáiyù	懷玉小片	怀玉小片		
0000huaiyue	怀岳片	赣语				Huáiyuè	懷岳片	怀岳片		
0000huangxiao	黄孝片	江淮官话				Huángxiào	黃孝片	黄孝片		
0000huangyue	黄乐小片	冀鲁官话	沧惠片			Huángyuè	黃樂小片	黄乐小片		
0000huguang	湖广片	西南官话				Húguǎng	湖廣片	湖广片		
huiz1242	徽语					Huīyǔ	徽語	徽语		
huiz1243	惠州片	客语				Huìzhōu	惠州片	惠州片		
0000huoji	获济小片	晋语邯新片				Huòjì	獲濟小片	获济小片		
0000hushan	湖汕片	闽南				Húshàn	湖汕片	湖汕片		
0000jianggong	江贡小片	西南官话 西蜀片				Jiānggòng	江貢小片	江贡小片		
